,class,data_class,large_class,long_method,feature_envy,refused_bequest
class,,,,,,
class,gw.vark.editor.VEdit$Anonymous2$Anonymous3,0,0,0,0,0
class,gw.vark.GosuProgramWrapper,0,0,0,0,0
class,gw.vark.editor.TargetPopup$Anonymous3$Anonymous4$Anonymous5,0,0,0,0,0
class,gw.vark.testapi.InMemoryLoggerAssert,0,0,0,0,0
class,gw.vark.shell.InteractiveShell$Anonymous1,0,0,0,0,0
class,gw.vark.TestprojectTest,0,0,0,1,0
class,gw.vark.testapi.AardvarkTestCase,0,0,0,0,0
class,gw.vark.editor.TargetPopup$Anonymous3$Anonymous4,0,0,0,0,0
class,gw.vark.editor.VEdit$Anonymous19,0,0,0,0,0
class,gw.vark.testapi.StringMatchAssertion,0,0,0,0,0
class,gw.vark.editor.VEdit$Anonymous15,0,0,0,0,0
class,gw.vark.AardvarkSuite,0,0,0,0,0
class,gw.vark.editor.VEdit$Anonymous17,0,0,0,0,0
class,gw.vark.shell.ReloadManager,0,0,1,0,0
class,gw.vark.editor.VEdit$Anonymous12,0,0,0,0,0
class,gw.vark.editor.VEdit$Anonymous11,0,0,0,0,0
class,gw.vark.testapi.TestUtil,0,0,0,0,0
class,gw.vark.editor.VEdit$Anonymous14,0,0,0,0,0
class,gw.vark.editor.VEdit$Anonymous13,0,0,0,0,0
class,gw.vark.AardvarkOptions,1,1,0,1,0
class,gw.vark.Aardvark,0,0,2,1,0
class,gw.vark.editor.VEdit$Anonymous10,0,0,0,0,0
class,gw.vark.editor.TargetPopup$Anonymous8,0,0,0,0,0
class,gw.vark.typeloader.AntlibTypeInfo,0,0,0,0,0
class,gw.vark.editor.TargetPopup$Anonymous7,0,0,0,0,0
class,gw.vark.AardvarkOptionsTest,0,0,0,0,0
class,gw.vark.testapi.InMemoryLogger,0,0,0,0,0
class,gw.vark.editor.TargetPopup$Anonymous2,0,0,0,0,0
class,gw.vark.task.GosuInvokerTask,0,0,0,0,0
class,gw.vark.typeloader.AntlibTypeLoader,0,0,0,1,0
class,gw.vark.editor.TargetPopup$Anonymous1,0,0,0,0,0
class,gw.vark.editor.VEdit$Anonymous15$Anonymous16,0,0,0,0,0
class,gw.vark.editor.TargetPopup$Anonymous6,0,0,0,0,0
class,gw.vark.launch.AntLauncher,0,0,0,1,0
class,gw.vark.AardvarkBootstrapTest,0,0,0,0,0
class,gw.vark.test.HelloWorld,0,0,0,0,0
class,gw.vark.editor.TargetPopup$Anonymous3,0,0,0,0,0
class,gw.vark.editor.VEdit$Anonymous1,0,0,0,0,0
class,gw.vark.editor.VEdit$Anonymous2,0,0,0,0,0
class,gw.vark.test.HelloWorldTest,0,0,0,0,0
class,gw.vark.task.GosuInitTask,0,0,0,0,0
class,gw.vark.enums.EnumGenerator,0,0,0,1,0
class,gw.vark.editor.VEdit$Anonymous17$Anonymous18,0,0,0,0,0
class,gw.vark.testapi.AardvarkAssertions,0,0,0,0,0
class,gw.vark.TargetCall,0,0,0,0,0
class,gw.vark.launch.Launcher,0,0,0,1,0
class,gw.vark.ProjectHelper$AardvarkTarget,0,0,0,0,0
class,gw.vark.editor.VEdit$Anonymous2$Anonymous3$Anonymous4,0,0,0,0,0
class,gw.vark.editor.VEdit$Anonymous8,0,0,0,0,0
class,gw.vark.typeloader.AntlibTypeInfo$TaskAdder,0,0,0,0,0
class,gw.vark.editor.VEdit$Anonymous9,0,0,0,0,0
class,gw.vark.typeloader.AntlibTypeInfo$TaskMethods,0,0,0,0,0
class,gw.vark.editor.VEdit$Anonymous5,0,0,0,0,0
class,gw.vark.editor.VEdit$Anonymous6,0,0,0,0,0
class,gw.vark.editor.VEdit$Anonymous7,0,0,0,0,0
class,gw.vark.AardvarkProcessTest,0,0,0,0,0
class,gw.vark.shell.InteractiveShell,0,0,1,0,0
class,gw.vark.launch.AntLauncher$Anonymous1,0,0,0,0,0
class,gw.vark.ProjectHelper,0,0,1,0,0
class,gw.vark.typeloader.AntlibType,0,0,0,1,0
class,gw.vark.typeloader.AntlibTypeInfo$TaskMethod,0,0,0,1,0
class,gw.vark.editor.VEdit,1,1,0,1,0
class,gw.vark.typeloader.AntlibTypeInfo$TaskCreator,0,0,0,0,0
class,gw.vark.typeloader.AntlibType$Anonymous1,0,0,0,0,0
class,gw.vark.testapi.StringMatchAssertion$StringRegexMatchAssertion,0,0,0,0,0
class,gw.vark.AardvarkShellTest,0,0,0,1,0
class,gw.vark.testapi.StringMatchAssertion$StringEqualityMatchAssertion,0,0,0,0,0
class,gw.vark.typeloader.AntlibTypeInfo$TaskSetter$TypeCategory,0,0,0,0,0
class,gw.vark.typeloader.AntlibTypeInfo$TaskSetter,0,0,0,0,0
class,gw.vark.editor.TargetPopup,0,0,0,0,0
class,gw.vark.typeloader.AntlibTypeInfo$TaskMethodCallHandler,0,0,0,0,0
class,gw.vark.AardvarkProcessTest$TestOutputHandler,0,0,0,0,0
class,gw.vark.typeloader.AntlibTypeInfo$Anonymous1,0,0,0,0,0
class,gw.vark.typeloader.AntlibTypeLoader$Anonymous1,0,0,0,0,0
