,class,data_class,large_class,long_method,feature_envy,refused_bequest
class,,,,,,
class,org.apache.commons.codec.language.bm.Rule,1,1,1,1,0
class,org.apache.commons.codec.EncoderException,0,0,0,1,0
class,org.apache.commons.codec.language.DoubleMetaphone$DoubleMetaphoneResult,0,0,0,0,0
class,org.apache.commons.codec.StringEncoderComparator,0,0,0,0,0
class,org.apache.commons.codec.binary.Base64Test,0,0,0,1,0
class,org.apache.commons.codec.language.bm.RuleTest,0,0,0,0,0
class,org.apache.commons.codec.language.bm.PhoneticEngine,0,0,1,1,0
class,org.apache.commons.codec.language.ColognePhonetic$CologneBuffer,0,0,0,0,0
class,org.apache.commons.codec.language.SoundexUtils,0,0,0,0,0
class,org.apache.commons.codec.net.Utils,0,0,0,0,0
class,org.apache.commons.codec.StringEncoderComparatorTest,0,0,0,0,0
class,org.apache.commons.codec.language.MetaphoneTest,0,0,0,0,0
class,org.apache.commons.codec.binary.Base32InputStream,0,0,0,0,0
class,org.apache.commons.codec.binary.Base64InputStreamTest,0,0,0,1,0
class,org.apache.commons.codec.binary.BaseNCodecOutputStream,0,0,0,0,0
class,org.apache.commons.codec.language.ColognePhonetic$CologneOutputBuffer,0,0,0,0,0
class,org.apache.commons.codec.binary.Base64,1,1,2,1,0
class,org.apache.commons.codec.language.bm.ResourceConstants,0,0,0,0,0
class,org.apache.commons.codec.language.Caverphone2Test,0,0,0,0,0
class,org.apache.commons.codec.language.Caverphone1Test,0,0,0,0,0
class,org.apache.commons.codec.language.Caverphone1,0,0,0,0,0
class,org.apache.commons.codec.language.Caverphone2,0,0,0,0,0
class,org.apache.commons.codec.language.bm.Lang,0,0,1,0,0
class,org.apache.commons.codec.net.BCodec,0,0,0,1,0
class,org.apache.commons.codec.net.UtilsTest,0,0,0,0,0
class,org.apache.commons.codec.binary.Base32OutputStream,0,0,0,0,0
class,org.apache.commons.codec.language.DoubleMetaphone2Test,0,0,0,1,0
class,org.apache.commons.codec.binary.BaseNCodec,1,1,0,1,0
class,org.apache.commons.codec.Encoder,0,0,0,0,0
class,org.apache.commons.codec.binary.BaseNCodecTest,0,0,0,0,0
class,org.apache.commons.codec.net.QCodecTest,0,0,0,1,0
class,org.apache.commons.codec.language.bm.PhoneticEngine$RulesApplication,0,0,0,0,0
class,org.apache.commons.codec.language.bm.LanguageGuessingTest,0,0,0,0,0
class,org.apache.commons.codec.DecoderException,0,0,0,1,0
class,org.apache.commons.codec.language.DoubleMetaphoneTest,0,0,0,1,0
class,org.apache.commons.codec.binary.BaseNCodecTest$Anonymous1,0,0,0,0,0
class,org.apache.commons.codec.language.bm.PhoneticEngineTest,0,0,0,0,0
class,org.apache.commons.codec.binary.BinaryCodec,1,0,0,1,0
class,org.apache.commons.codec.language.bm.Lang$LangRule,0,0,0,0,0
class,org.apache.commons.codec.binary.Base32OutputStreamTest,0,0,0,0,0
class,org.apache.commons.codec.language.AbstractCaverphone,0,0,0,0,0
class,org.apache.commons.codec.net.QuotedPrintableCodec,0,0,0,1,0
class,org.apache.commons.codec.BinaryDecoder,0,0,0,0,0
class,org.apache.commons.codec.binary.Base32,1,0,1,1,0
class,org.apache.commons.codec.binary.Codec105ErrorInputStream,0,0,0,0,0
class,org.apache.commons.codec.CharEncodingTest,0,0,0,0,0
class,org.apache.commons.codec.net.BCodecTest,0,0,0,1,0
class,org.apache.commons.codec.DecoderExceptionTest,0,0,0,0,0
class,org.apache.commons.codec.binary.Base64InputStream,0,0,0,0,0
class,org.apache.commons.codec.language.bm.NameType,0,0,0,0,0
class,org.apache.commons.codec.net.RFC1522Codec,0,0,0,0,0
class,org.apache.commons.codec.BinaryEncoder,0,0,0,0,0
class,org.apache.commons.codec.binary.Base64OutputStreamTest,0,0,0,1,0
class,org.apache.commons.codec.binary.Base32TestData,0,0,0,1,0
class,org.apache.commons.codec.binary.Hex,0,0,0,1,0
class,org.apache.commons.codec.net.QCodec,0,0,0,1,0
class,org.apache.commons.codec.StringEncoderAbstractTest,0,0,0,1,0
class,org.apache.commons.codec.StringDecoder,0,0,0,0,0
class,org.apache.commons.codec.net.QuotedPrintableCodecTest,0,0,0,1,0
class,org.apache.commons.codec.BinaryEncoderAbstractTest,0,0,0,0,0
class,org.apache.commons.codec.language.bm.BeiderMorseEncoderTest,0,0,0,0,0
class,org.apache.commons.codec.language.RefinedSoundexTest,0,0,0,0,0
class,org.apache.commons.codec.binary.Base64TestData,0,0,0,1,0
class,org.apache.commons.codec.Decoder,0,0,0,0,0
class,org.apache.commons.codec.language.bm.Languages,0,0,0,1,0
class,org.apache.commons.codec.net.RFC1522CodecTest,0,0,0,0,0
