,class,data_class,large_class,long_method,feature_envy,refused_bequest
class,,,,,,
class,org.apache.commons.logging.impl.WeakHashtable$WeakKey,0,0,0,0,0
class,org.apache.commons.logging.BasicOperationsTestCase,0,0,0,0,0
class,org.apache.commons.logging.jdk14.CustomConfigTestCase,0,0,0,1,0
class,org.apache.commons.logging.impl.SimpleLog,1,1,0,1,0
class,org.apache.commons.logging.log4j.log4j12.ChildClasspathStandardTestCase,0,0,0,0,0
class,org.apache.commons.logging.BadHashtablePropertyTestCase,0,0,0,0,0
class,org.apache.commons.logging.tccl.custom.MyLogFactoryImpl,0,0,0,0,0
class,org.apache.commons.logging.jdk14.CustomConfigFullTestCase,0,0,0,0,0
class,org.apache.commons.logging.avalon.AvalonLoggerTestCase,0,0,0,0,0
class,org.apache.commons.logging.LogSource,0,0,0,1,0
class,org.apache.commons.logging.simple.CustomConfigTestCase,0,0,0,1,0
class,org.apache.commons.logging.impl.WeakHashtable$Anonymous1,0,0,0,0,0
class,org.apache.commons.logging.pathable.GeneralTestCase,0,0,0,0,0
class,org.apache.commons.logging.AbstractLogTest,0,0,0,0,0
class,org.apache.commons.logging.impl.AvalonLogger,0,0,0,1,0
class,org.apache.commons.logging.impl.ServletContextCleaner,0,0,0,0,0
class,org.apache.commons.logging.UserClass,0,0,0,0,0
class,org.apache.commons.logging.LoadTestCase,0,0,0,1,0
class,org.apache.commons.logging.tccl.NullTCCLTestCase,0,0,0,0,0
class,org.apache.commons.logging.simple.LogRecord,0,0,0,0,0
class,org.apache.commons.logging.log4j.log4j12.AppClasspathStandardTestCase,0,0,0,0,0
class,org.apache.commons.logging.log4j.log4j12.Log4j12StandardTests,0,0,0,0,0
class,org.apache.commons.logging.AltHashtable,0,0,0,0,0
class,org.apache.commons.logging.PathableClassLoader,0,0,0,1,0
class,org.apache.commons.logging.impl.Jdk13LumberjackLogger,0,0,0,1,0
class,org.apache.commons.logging.impl.WeakHashtable$Entry,0,0,0,0,0
class,org.apache.commons.logging.impl.WeakHashtable$Referenced,0,0,0,0,0
class,org.apache.commons.logging.log4j.log4j12.ParentClasspathStandardTestCase,0,0,0,0,0
class,org.apache.commons.logging.pathable.ChildFirstTestCase,0,0,0,0,0
class,org.apache.commons.logging.config.FirstPriorityConfigTestCase,0,0,0,0,0
class,org.apache.commons.logging.LogFactory,1,1,4,1,0
class,org.apache.commons.logging.impl.Jdk14Logger,0,0,0,1,0
class,org.apache.commons.logging.log4j.log4j12.TestAppender,0,0,0,0,0
class,org.apache.commons.logging.simple.DateTimeCustomConfigTestCase,0,0,0,0,0
class,org.apache.commons.logging.jdk14.DefaultConfigTestCase,0,0,0,0,0
class,org.apache.commons.logging.logkit.StandardTestCase,0,0,0,0,0
class,org.apache.commons.logging.tccl.log.TcclDisabledTestCase,0,0,0,0,0
class,org.apache.commons.logging.simple.DefaultConfigTestCase,0,0,0,0,0
class,org.apache.commons.logging.tccl.logfactory.TcclEnabledTestCase,0,0,0,0,0
class,org.apache.commons.logging.LoadTestCase$AppClassLoader,0,0,0,0,0
class,org.apache.commons.logging.PathableTestSuite,0,0,0,0,0
class,org.apache.commons.logging.log4j.log4j12.ApiClasspathStandardTestCase,0,0,0,0,0
class,org.apache.commons.logging.impl.Log4JLogger,0,0,0,1,0
class,org.apache.commons.logging.impl.SimpleLog$Anonymous1,0,0,0,0,0
class,org.apache.commons.logging.log4j.StandardTests$LogEvent,0,0,0,0,0
class,org.apache.commons.logging.impl.LogFactoryImpl,1,1,1,1,0
class,org.apache.commons.logging.LogFactory$Anonymous1,0,0,0,0,0
class,org.apache.commons.logging.tccl.logfactory.TcclDisabledTestCase,0,0,0,0,0
class,org.apache.commons.logging.NullClassLoaderTestCase,0,0,0,0,0
class,org.apache.commons.logging.SimpleLogTestCase,0,0,0,0,0
class,org.apache.commons.logging.noop.NoOpLogTestCase,0,0,0,0,0
class,org.apache.commons.logging.LogFactory$Anonymous4,0,0,0,0,0
class,org.apache.commons.logging.LogFactory$Anonymous5,0,0,0,0,0
class,org.apache.commons.logging.LogFactory$Anonymous2,0,0,0,0,0
class,org.apache.commons.logging.tccl.log.TcclEnabledTestCase,0,0,0,0,0
class,org.apache.commons.logging.LogFactory$Anonymous3,0,0,0,0,0
class,org.apache.commons.logging.jdk14.CustomConfigAPITestCase,0,0,0,0,0
class,org.apache.commons.logging.tccl.BadTCCLTestCase,0,0,0,0,0
class,org.apache.commons.logging.impl.WeakHashtableTest,0,0,0,0,0
class,org.apache.commons.logging.config.PriorityConfigTestCase,0,0,0,0,0
class,org.apache.commons.logging.pathable.ParentFirstTestCase,0,0,0,0,0
class,org.apache.commons.logging.impl.NoOpLog,0,0,0,0,0
class,org.apache.commons.logging.jdk14.TestHandler,0,0,0,0,0
class,org.apache.commons.logging.AltHashtableTestCase,0,0,0,0,0
class,org.apache.commons.logging.servlet.BasicServletTestCase,0,0,0,0,0
class,org.apache.commons.logging.impl.LogKitLogger,0,0,0,1,0
class,org.apache.commons.logging.tccl.custom.MyLog,0,0,0,0,0
class,org.apache.commons.logging.impl.WeakHashtable,0,0,0,1,0
class,org.apache.commons.logging.LogTestCase,0,0,0,0,0
class,org.apache.commons.logging.simple.DecoratedSimpleLog,0,0,0,0,0
class,org.apache.commons.logging.Log,0,0,0,0,0
class,org.apache.commons.logging.LogConfigurationException,0,0,0,0,0
class,org.apache.commons.logging.log4j.StandardTests,0,0,0,0,0
