,class,data_class,large_class,long_method,feature_envy,refused_bequest
class,,,,,,
class,net.sourceforge.ganttproject.gui.RolesTableModel,0,0,0,1,0
class,net.sourceforge.ganttproject.GanttProject$Anonymous5,0,0,0,0,0
class,net.sourceforge.ganttproject.GanttProject$Anonymous4,0,0,0,0,0
class,net.sourceforge.ganttproject.GanttProject$Anonymous7,0,0,0,0,0
class,net.sourceforge.ganttproject.GanttProject$Anonymous6,0,0,0,0,0
class,net.sourceforge.ganttproject.export.FontRecord,0,0,0,0,0
class,net.sourceforge.ganttproject.GanttProject$Anonymous9,0,0,0,0,0
class,net.sourceforge.ganttproject.GanttProject$Anonymous8,0,0,0,0,0
class,net.sourceforge.ganttproject.time.TimeUnitGraph,0,0,0,0,0
class,net.sourceforge.ganttproject.GanttGraphicArea$Arrow,0,0,0,0,0
class,net.sourceforge.ganttproject.GanttOptions$GanttXMLOptionsParser,0,0,1,0,0
class,net.sourceforge.ganttproject.GanttProject$Anonymous1,0,0,0,0,0
class,net.sourceforge.ganttproject.GanttProject$Anonymous3,0,0,0,0,0
class,net.sourceforge.ganttproject.time.gregorian.GregorianCalendar,0,0,0,0,0
class,net.sourceforge.ganttproject.GanttProject$Anonymous2,0,0,0,0,0
class,net.sourceforge.ganttproject.task.TaskLength,0,0,0,0,0
class,net.sourceforge.ganttproject.time.gregorian.GregorianTimeUnitStack$TimeFrameImpl$UnitInfo,0,0,0,0,0
class,net.sourceforge.ganttproject.GanttTree$AutoscrollingTree,0,0,0,0,0
class,net.sourceforge.ganttproject.gui.taskproperties.DependencyTableModel$TaskComboItem,0,0,0,0,0
class,net.sourceforge.ganttproject.gui.about.AboutJavaInfosPanel$AboutFieldTableModel,0,0,0,1,0
class,net.sourceforge.ganttproject.export.ExportException,0,0,0,0,0
class,net.sourceforge.ganttproject.gui.projectwizard.WizardImpl$BackAction,0,0,0,0,0
class,net.sourceforge.ganttproject.task.dependency.TaskDependencySlice,0,0,0,0,0
class,net.sourceforge.ganttproject.time.gregorian.MonthTextFormatter,0,0,0,0,0
class,net.sourceforge.ganttproject.gui.projectwizard.RoleSetPage$RoleSetListModel,0,0,0,0,0
class,net.sourceforge.ganttproject.task.MutableResourceAssignmentCollection,0,0,0,0,0
class,net.sourceforge.ganttproject.gui.options.PDFSettingsPanel,0,0,0,0,0
class,net.sourceforge.ganttproject.GanttPrintable,0,0,0,0,0
class,net.sourceforge.ganttproject.util.ColorConvertion,0,0,0,0,0
class,net.sourceforge.ganttproject.gui.GanttPanelDate$GanttDialogDateDay,0,0,1,0,0
class,net.sourceforge.ganttproject.document.DocumentsMRU,0,0,0,0,0
class,net.sourceforge.ganttproject.parser.ParsingListener,0,0,0,0,0
class,net.sourceforge.ganttproject.gui.about.AboutLibraryPanel$LibraryInfo,0,0,0,0,0
class,net.sourceforge.ganttproject.parser.RoleTagHandler,0,0,0,0,0
class,net.sourceforge.ganttproject.gui.TipsDialog$Anonymous2,0,0,0,0,0
class,net.sourceforge.ganttproject.resource.ResourceContext,0,0,0,0,0
