;metric;avg;std;median;mode;percentile70;percentile90;chebyshev
0;abstractMethodsQty;0.08068950052322973;0.83592692555813;0.0;0.0;0.0;0.0;(-1.2410270205896254, 1.402406021636085)
1;anonymousClassesQty;0.189587728186303;1.8252922579982935;0.0;0.0;0.0;0.0;(-2.696452737186848, 3.0756281935594543)
2;assignmentsQty;9.202377788482302;32.83103360283559;2.0;0.0;5.0;21.0;(-42.708044272759885, 61.11279984972449)
3;cbo;10.38575735428467;32.53512347268939;5.0;0.0;10.0;22.0;(-41.05678970996809, 61.828304418537435)
4;comparisonsQty;1.6752362839061177;9.543789442945616;0.0;0.0;0.0;4.0;(-13.414819790482754, 16.76529235829499)
5;defaultFieldsQty;0.21157583509127453;3.070955624356019;0.0;0.0;0.0;0.0;(-4.644031348043464, 5.067183018226013)
6;defaultMethodsQty;0.646554158430643;3.8440279716240813;0.0;0.0;0.0;1.0;(-5.431387731433958, 6.724496048295244)
7;dit;1.7211102436755643;1.7128090809006644;1.0;1.0;2.0;3.0;(-0.9870787026572885, 4.429299190008417)
8;fanin;4.128228659701344;28.923271358518654;0.0;0.0;2.0;7.0;(-41.6034787783144, 49.85993609771708)
9;fanout;6.257528694583327;12.837906741152539;3.0;0.0;7.0;15.0;(-14.040984150852532, 26.556041540019187)
10;finalFieldsQty;1.115056558643257;5.135452089390387;0.0;0.0;1.0;3.0;(-7.004806149928868, 9.234919267215382)
11;finalMethodsQty;0.07934405262196235;1.542776560377653;0.0;0.0;0.0;0.0;(-2.3599998731348704, 2.5186879783787948)
12;innerClassesQty;0.2173396674584323;1.2865471412606877;0.0;0.0;0.0;0.0;(-1.8168699743226504, 2.251549309239515)
13;lambdasQty;0.41365878776805143;3.8870891584989744;0.0;0.0;0.0;1.0;(-5.732368816733954, 6.5596863922700575)
14;lcc;0.3556651883672517;0.41715745031122137;0.1;0.0;0.6043956;1.0;(-0.30391865457873635, 1.0152490313132398)
15;lcom;0.23218768102183976;0.3313824426314985;0.0;0.0;0.4;0.7916667;(-0.291773966630969, 0.7561493286746485)
16;loc;51.536684218394434;157.88582402835672;16.0;5.0;36.0;114.0;(-198.10272287267978, 301.17609130946863)
17;logStatementsQty;0.28577479527598293;2.2016486036987453;0.0;0.0;0.0;0.0;(-3.1953373022327414, 3.766886892784707)
18;loopQty;0.633303157649951;3.118366144659203;0.0;0.0;0.0;1.0;(-4.297266640090646, 5.563872955390549)
19;mathOperationsQty;1.4590427387339502;25.24320657969609;0.0;0.0;0.0;3.0;(-38.45397138026025, 41.37205685772815)
20;maxNestedBlocksQty;0.7977301795591581;1.310816267659595;0.0;0.0;1.0;3.0;(-1.2748523203434576, 2.870312679461774)
21;modifiers;61.30737166998216;235.22956150470154;1.0;1.0;2.0;17.0;(-310.6232220087786, 433.23796534874293)
22;noc;0.22995116522432438;5.062865532899606;0.0;0.0;0.0;0.0;(-7.775142120338126, 8.235044450786775)
23;nosi;4.3791256249688555;21.396680663388135;0.0;0.0;2.0;9.0;(-29.451997006825664, 38.21024825676338)
24;numbersQty;5.716459312658838;76.24282064751065;0.0;0.0;1.0;8.0;(-114.83402492826487, 126.26694355358255)
25;parenthesizedExpsQty;0.6622261349102204;18.714465408564372;0.0;0.0;0.0;1.0;(-28.92794180683829, 30.25239407665873)
26;privateFieldsQty;1.366941846751823;3.8065916278644774;0.0;0.0;1.0;4.0;(-4.651807986338088, 7.3856916798417345)
27;privateMethodsQty;0.5649178612361511;3.5701868514023576;0.0;0.0;0.0;1.0;(-5.080043200172129, 6.209878922644432)
28;protectedFieldsQty;0.08240453133564772;1.0029331857117774;0.0;0.0;0.0;0.0;(-1.5033720725732815, 1.6681811352445768)
29;protectedMethodsQty;0.3378320017274887;1.8281345792763566;0.0;0.0;0.0;1.0;(-2.5527025681859823, 3.2283665716409593)
