;metric;avg;std;median;mode;percentile70;percentile90;chebyshev
0;abstractMethodsQty;0.0;0.0;0.0;0.0;0.0;0.0;(0.0, 0.0)
1;anonymousClassesQty;0.01967424906565773;0.1388782667999576;0.0;0.0;0.0;0.0;(-0.1999115712265472, 0.23926006935786268)
2;assignmentsQty;4.883057260185484;7.490826788755816;2.0;0.0;5.0;15.0;(-6.960979844951196, 16.727094365322163)
3;cbo;7.218091634752918;7.249749831471938;5.0;0.0;9.0;18.0;(-4.244769332183674, 18.680952601689512)
4;comparisonsQty;0.6048678078715453;1.3754427221687362;0.0;0.0;0.0;2.0;(-1.5698980887061436, 2.779633704449234)
5;defaultFieldsQty;0.023863793660314676;0.15262474574082865;0.0;0.0;0.0;0.0;(-0.21745711826223604, 0.2651847055828654)
6;defaultMethodsQty;0.22767960134729848;0.5626698672912874;0.0;0.0;0.0;1.0;(-0.661979574345274, 1.1173387770398708)
7;dit;1.504212614774143;0.8426049944570374;1.0;1.0;2.0;3.0;(0.1719371396152478, 2.836488089933038)
8;fanin;1.444225534074655;2.4753016109418353;0.0;0.0;1.0;5.0;(-2.4695699591554288, 5.358021027304739)
9;fanout;4.945300604438702;5.1071491146162895;3.0;0.0;7.0;13.0;(-3.1298111717112027, 13.020412380588606)
10;finalFieldsQty;0.589812208738984;1.07751160631333;0.0;0.0;1.0;2.0;(-1.1138832318694107, 2.293507649347379)
11;finalMethodsQty;0.0;0.0;0.0;0.0;0.0;0.0;(0.0, 0.0)
12;innerClassesQty;0.05482858856641905;0.22764536991169707;0.0;0.0;0.0;0.0;(-0.30511034528984426, 0.41476752242268233)
13;lambdasQty;0.07203432842707516;0.2997207213306785;0.0;0.0;0.0;0.0;(-0.4018657422497033, 0.5459343991038537)
14;lcc;0.3396198935216117;0.40373675582781726;0.1;0.0;0.54545456;1.0;(-0.2987439682499695, 0.9779837552931929)
15;lcom;0.20443303999354961;0.29734856165235113;0.0;0.0;0.33333334;0.71666664;(-0.2657163169046654, 0.6745823968917646)
16;loc;31.853730448022887;37.74563826085038;16.0;5.0;33.0;84.0;(-27.827363872519108, 91.53482476856487)
17;logStatementsQty;0.021432196742490656;0.14482008729897186;0.0;0.0;0.0;0.0;(-0.20754846666209592, 0.25041286014707725)
18;loopQty;0.2064319660406958;0.5789340605938308;0.0;0.0;0.0;1.0;(-0.7089431572225232, 1.121807089303915)
19;mathOperationsQty;0.47221427582706593;1.1020238559173263;0.0;0.0;0.0;2.0;(-1.270238434442923, 2.214666986097055)
20;maxNestedBlocksQty;0.6210446177271259;0.8953578828992012;0.0;0.0;1.0;2.0;(-0.7946404977467739, 2.036729733201026)
21;modifiers;11.07394326079526;83.37809580500617;1.0;1.0;2.0;16.0;(-120.75840159497969, 142.9062881165702)
22;noc;0.0;0.0;0.0;0.0;0.0;0.0;(0.0, 0.0)
23;nosi;1.748899552438518;3.2732293914318067;0.0;0.0;1.0;6.0;(-3.426530538127153, 6.924329643004189)
24;numbersQty;1.5078069487380612;3.2088352819612393;0.0;0.0;1.0;5.0;(-3.565807114915004, 6.581421012391126)
25;parenthesizedExpsQty;0.11992802104000369;0.4031255114678981;0.0;0.0;0.0;0.0;(-0.5174693785394394, 0.7573254206194467)
26;privateFieldsQty;0.8139528445531307;1.3674880482208296;0.0;0.0;1.0;3.0;(-1.348235608164864, 2.976141297271125)
27;privateMethodsQty;0.2173349328657777;0.564780437055886;0.0;0.0;0.0;1.0;(-0.6756613466352033, 1.1103312123667586)
28;protectedFieldsQty;0.0;0.0;0.0;0.0;0.0;0.0;(0.0, 0.0)
29;protectedMethodsQty;0.11652747658376782;0.36374791852952704;0.0;0.0;0.0;1.0;(-0.4586084817655677, 0.6916634349331033)
30;publicFieldsQty;0.039145480551838696;0.19394100109106457;0.0;0.0;0.0;0.0;(-0.2675021670186437, 0.3457931281223211)
31;publicMethodsQty;2.621948968762977;2.8705610663872694;2.0;1.0;3.0;7.0;(-1.9168065974298143, 7.1607045349557685)
32;returnQty;1.95642504498685;2.732363004077442;1.0;0.0;2.0;6.0;(-2.3638201986454783, 6.2766702886191785)
33;rfc;7.55021455266922;9.863897787382456;3.0;0.0;9.0;22.0;(-8.045977254942706, 23.146406360281144)
34;staticFieldsQty;0.19750842061551238;0.5045881609195159;0.0;0.0;0.0;1.0;(-0.6003155138151037, 0.9953323550461286)
35;staticMethodsQty;0.11589535366585152;0.3755488793287829;0.0;0.0;0.0;0.0;(-0.47789956203548883, 0.7096902693671918)
36;stringLiteralsQty;3.0719235915655423;5.5794231673474535;1.0;0.0;2.0;10.0;(-5.749919027798835, 11.893766210929918)
37;synchronizedFieldsQty;0.0;0.0;0.0;0.0;0.0;0.0;(0.0, 0.0)
38;synchronizedMethodsQty;0.0;0.0;0.0;0.0;0.0;0.0;(0.0, 0.0)
39;tcc;0.284943541546441;0.35986349790878563;0.09090909;0.0;0.4;1.0;(-0.2840506085270606, 0.8539376916199426)
40;totalFieldsQty;1.2135560374659715;1.7711575038740601;0.0;0.0;1.0;4.0;(-1.5868898661042936, 4.014001941036237)
41;totalMethodsQty;3.8946661745028375;3.727080459355363;2.0;1.0;5.0;9.0;(-1.9983654626319454, 9.78769781163762)
42;tryCatchQty;0.12178286347067781;0.3832514374270795;0.0;0.0;0.0;1.0;(-0.4841908659308588, 0.7277565928722144)
