;metric;avg;std;median;mode;percentile70;percentile90;chebyshev
0;abstractMethodsQty;2.858761218184493;4.1006250625966105;2.0;1.0;3.0;6.0;(-3.6248962959034188, 9.342418732272405)
1;anonymousClassesQty;2.7998896111860665;6.472626032700082;1.0;1.0;2.0;5.0;(-7.434230741729812, 13.034009964101944)
2;assignmentsQty;14.583835684953144;40.36986441698511;5.0;1.0;10.0;32.0;(-49.246524509976055, 78.41419587988234)
3;cbo;13.605338744247277;36.645273076699326;8.0;3.0;13.0;26.0;(-44.335925456360755, 71.54660294485531)
4;comparisonsQty;6.285124481974262;17.684836723151342;2.0;1.0;5.0;13.0;(-21.67705756469917, 34.24730652864769)
5;defaultFieldsQty;2.9598001626583015;11.126354218851537;2.0;1.0;3.0;5.0;(-14.632510530038907, 20.552110855355508)
6;defaultMethodsQty;3.2153728600045435;8.076226068691234;1.0;1.0;2.0;6.0;(-9.554261777741349, 15.985007497750438)
7;dit;1.7211102436755643;1.7128090809006644;1.0;1.0;2.0;3.0;(-0.9870787026572885, 4.429299190008417)
8;fanin;9.256820678995101;42.75924674278838;3.0;1.0;5.0;15.0;(-58.35148469117851, 76.86512604916871)
9;fanout;8.523363217285556;14.324009630404273;6.0;2.0;9.0;18.0;(-14.124884611846522, 31.171611046417635)
10;finalFieldsQty;3.414013629659767;8.538044457034639;2.0;1.0;3.0;7.0;(-10.085819994342783, 16.91384725366232)
11;finalMethodsQty;3.5142541842928083;9.661744160390603;2.0;1.0;3.0;7.0;(-11.762304674039942, 18.790813042625558)
12;innerClassesQty;2.187586206896552;3.514258837470235;1.0;1.0;2.0;4.0;(-3.36894489999416, 7.744117313787264)
13;lambdasQty;3.9587489568016534;11.426490515778656;2.0;1.0;3.0;8.0;(-14.1081188892847, 22.025616802888006)
14;lcc;0.6517720596926705;0.3548319579545778;0.71428573;1.0;1.0;1.0;(0.09073347281588695, 1.2128106465694541)
15;lcom;0.6165591368428842;0.23370278097988995;0.6326531;0.5;0.7625;0.92315485;(0.2470425951369194, 0.986075678548849)
16;loc;51.53839637215329;157.88816720781583;16.0;5.0;36.0;114.0;(-198.10471561094954, 301.18150835525614)
17;logStatementsQty;4.124048660634027;7.356771317202177;2.0;1.0;4.0;9.0;(-7.508028133043946, 15.756125454311999)
18;loopQty;3.6502393489707994;6.710882874956267;2.0;1.0;3.0;8.0;(-6.960598148769577, 14.261076846711177)
19;mathOperationsQty;5.833748422660556;50.22249465428081;2.0;1.0;4.0;11.0;(-73.57498801891848, 85.2424848642396)
20;maxNestedBlocksQty;1.9693580464601317;1.3908507847089056;2.0;1.0;2.0;4.0;(-0.22977013609618457, 4.168486229016448)
21;modifiers;66.3347516392806;244.00187830479646;1.0;1.0;8.0;17.0;(-319.4660927619101, 452.13559604047134)
22;noc;5.503379049890678;24.175169448022874;2.0;1.0;4.0;9.0;(-32.72092008824326, 43.72767818802461)
23;nosi;10.017155233011;31.476525128885264;3.0;1.0;6.0;21.0;(-39.75160088439024, 59.78591135041225)
24;numbersQty;15.39192271568496;124.51045568506441;3.0;1.0;7.0;27.0;(-181.47639351944716, 212.26023895081707)
25;parenthesizedExpsQty;5.005241517843131;51.23847986299632;2.0;1.0;3.0;8.0;(-76.00990858802719, 86.02039162371345)
26;privateFieldsQty;3.6244081830393515;5.498929181954988;2.0;1.0;3.0;7.0;(-5.070162270432769, 12.318978636511472)
27;privateMethodsQty;2.981611361942752;7.75038170127269;2.0;1.0;3.0;6.0;(-9.272818093913461, 15.236040817798965)
28;protectedFieldsQty;3.2622061482820977;5.426519309719219;2.0;1.0;3.0;7.0;(-5.317874244516614, 11.84228654108081)
29;protectedMethodsQty;2.384698812838927;4.325504269324623;1.0;1.0;2.0;5.0;(-4.454523947085175, 9.223921572763029)
30;publicFieldsQty;4.291337815453571;22.87501233260385;1.0;1.0;2.0;7.0;(-31.877232422281093, 40.45990805318824)
31;publicMethodsQty;4.924519932232014;9.845858662328276;2.0;1.0;4.0;10.0;(-10.643149514296, 20.49218937876003)
32;returnQty;5.6036836035067115;15.674039086768579;2.0;1.0;5.0;12.0;(-19.179148220840418, 30.386515427853844)
33;rfc;15.08845316886719;26.64271955003505;7.0;1.0;14.0;36.0;(-27.0373852507364, 57.21429158847078)
34;staticFieldsQty;3.4635801104972375;15.791513547186845;1.0;1.0;2.0;6.0;(-21.504995144760407, 28.43215536575488)
35;staticMethodsQty;3.1708308065494237;6.3828614216757975;1.0;1.0;2.0;6.0;(-6.9213592343085555, 13.263020847407402)
36;stringLiteralsQty;16.59287742062161;160.4060434489144;4.0;1.0;9.0;31.0;(-237.0313464566286, 270.2171012978718)
37;synchronizedFieldsQty;0.0;0.0;0.0;0.0;0.0;0.0;(0, 0)
38;synchronizedMethodsQty;3.098111469368954;6.067336803732238;2.0;1.0;3.0;6.0;(-6.495190346210984, 12.691413284948892)
39;tcc;0.5615953270242947;0.3517790390411853;0.5;1.0;1.0;1.0;(0.005383828786574507, 1.117806825262015)
40;totalFieldsQty;4.26405088284888;12.059079772465989;2.0;1.0;4.0;8.0;(-14.80302840047991, 23.331130166177672)
41;totalMethodsQty;5.773944497471076;11.653544827210288;3.0;1.0;5.0;12.0;(-12.65192773695786, 24.199816731900015)
42;tryCatchQty;3.0153331965170485;6.949213244052478;1.0;1.0;2.0;6.0;(-7.972337702189645, 14.00300409522374)
43;uniqueWordsQty;42.46207168077469;60.619371419285116;24.0;4.0;44.0;97.0;(-53.38557032555274, 138.30971368710212)
44;variablesQty;12.151636109565645;29.3518893201284;4.0;1.0;9.0;27.0;(-34.2577758308228, 58.56104804995409)
45;wmc;10.923737434311935;50.50972142227971;4.0;1.0;8.0;23.0;(-68.93914440318974, 90.7866192718136)
